Show_Id,Cast,Country,Date_Added,Description,Director,Duration,Listed_In,Rating,Release_Year,Title,Type
S0015,Damandeep Singh Baggan   Smita Malhotra   Deepak Chachra,Null,2017-09-08,A cat   monkey and donkey team up to narrate folktales about friendship from Northeast India   and the Indian regions of Bihar and Rajasthan.,Munjal Shroff   Tilak Shetty,65 min,Children & Family Movies,TV-Y,2016,Krish Trish and Baltiboy: Best Friends Forever,Movie
S0016,Damandeep Singh Baggan   Smita Malhotra   Baba Sehgal,Null,2017-09-08,In three comic-strip-style tales   a boy tries to sell wisdom   a demon is released from captivity   and a king assigns impossible tasks to his minister.,Tilak Shetty,61 min,Children & Family Movies,TV-Y7,2012,Krish Trish and Baltiboy: Comics of India,Movie
S0017,Rishi Gambhir   Smita Malhotra   Deepak Chachra,Null,2017-09-08,A cat   monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan   West Bengal and Maharashtra.,Tilak Shetty,65 min,Children & Family Movies,TV-Y7,2017,Krish Trish and Baltiboy: Oversmartness Never Pays,Movie
S0018,Damandeep Singh Baggan   Smita Malhotra   Baba Sehgal,Null,2017-09-08,Animal minstrels narrate stories about a monkey..s friendship with a crocodile   two monkeys.. foolishness and a villager..s encounter with a demon.,Null,58 min,Children & Family Movies,TV-Y7,2010,Krish Trish and Baltiboy: Part II,Movie
S0019,Damandeep Singh Baggan   Smita Malhotra   Baba Sehgal,Null,2017-09-08,The consequences of trickery are explored in stories involving an inconsiderate husband   two greedy courtiers   and a kind man who loses everything.,Munjal Shroff   Tilak Shetty,60 min,Children & Family Movies,TV-Y7,2013,Krish Trish and Baltiboy: The Greatest Trick,Movie
S0020,Karl Glusman   Klara Kristin   Aomi Muyock   Ugo Fox   Juan Saavedra   Gaspar Noé   Isabelle Nicou   Benoît Debie   Vincent Maraval   Déborah Révy,France   Belgium,2017-09-08,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,Gaspar Noé,135 min,Cult Movies   Dramas   Independent Movies,NR,2015,Love,Movie
S0021,Tom O..Brien   Katherine Waterston   Caitlin Fitzgerald   Gaby Hoffmann   Louis Cancelmi   Zach Grenier,United States,2017-09-08,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,Tom O..Brien,98 min,Comedies   Independent Movies   Romantic Movies,TV-14,2014,Manhattan Romance,Movie
S0022,Ron Perlman   Rupert Grint   Robert Sheehan   Stephen Campbell Moore   Eric Lampaert   Kevin Bishop   Tom Audenaert   Erika Sainte,France   Belgium,2017-09-08,A brain-addled war vet   a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.,Antoine Bardou-Jacquet,96 min,Action & Adventure   Comedies   International Movies,R,2015,Moonwalkers,Movie
S0023,Null,United States   Uruguay,2017-09-08,As the newspaper industry takes a hit   The Denver Post breaks new ground with a section dedicated to cannabis culture.,Mitch Dickman,79 min,Documentaries,TV-MA,2015,Rolling Papers,Movie
S0024,Kate Beckinsale   Jim Sturgess   David Thewlis   Brendan Gleeson   Ben Kingsley   Michael Caine   Jason Flemyng   Sophie Kennedy Clark   Sinéad Cusack   Edmund Kingsley,United States,2017-09-08,In 1899   a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor..s methods while falling for a female patient.,Brad Anderson,113 min,Horror Movies   Thrillers,PG-13,2014,Stonehearst Asylum,Movie
S0025,Nicolas Cage   Sarah Paulson   Connie Nielsen   Wendell Pierce   Bryan Batt   Peter Fonda   Dana Gourrier,United States,2017-09-08,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,Austin Stark,90 min,Dramas   Independent Movies,R,2015,The Runner,Movie
S0026,Taissa Farmiga   Ben Rosenfield   Lindsay Burdge   Joshua Leonard   Jennifer Lafleur   Peter Vack   Dana Wheeler-Nicholson   Jason Newman   Molly McMichael,United States,2015-09-08,As a volatile young couple who have been together for six years approach college graduation   unexpected career opportunities threaten their future.,Hannah Fidell,80 min,Dramas   Independent Movies   Romantic Movies,NR,2015,6 Years,Movie
S0027,Chaiyapol Pupart   Jintanutda Lummakanon   Worrawech Danuwong   Ornjira Lamwilai   Yong Armchair   Keerati Mahapreukpong   Akarat Nimitchai   Kornpassorn Duaysianklao   Nattapong Chartpong,Null,2018-09-07,As four couples with different lifestyles go through the ebbs and flows of joy and sorrow   each must learn how to live a good life.,Null,1 Season,International TV Shows   Romantic TV Shows   TV Comedies,TV-14,2015,Castle of Stars,TV Show
S0028,Null,United States  ,2018-09-07,Women who..ve been sexually brutalized in war-torn Congo begin to heal at City of Joy   a center that helps them regain a sense of self and empowerment.,Madeleine Gavin,77 min,Documentaries,TV-MA,2018,City of Joy,Movie
S0029,Null,Null,2018-09-07,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia..s Gwinnett County Jail.,Null,1 Season,Docuseries,TV-MA,2018,First and Last,TV Show
S0030,Saharat Sangkapreecha   Pok Piyatida Woramusik   Sutatta Udomsilp   Athipich Chutiwatkajornchai   Deuntem Salitul   Sahajak Boonthanakit,Thailand,2018-09-07,When a family moves into an upscale housing development   they encounter a series of paranormal events that drive them to the edge of insanity.,Sopon Sukdapisit,112 min,Horror Movies   International Movies,TV-MA,2011,Laddaland,Movie
S0031,John Krasinski   Charlyne Yi   Jason Sudeikis   Michael Peña   David Cross   Constance Wu,China   Canada   United States,2018-09-07,When lonely Mai forms an unlikely bond with a top-secret robot   they embark on an intense   action-packed adventure to foil the plot of a vicious villain.,Kevin R. Adams   Joe Ksander,106 min,Children & Family Movies   Comedies   Sci-Fi & Fantasy,TV-PG,2018,Next Gen,Movie
S0032,Shannon Purser   Kristine Froseth   RJ Cyler   Noah Centineo   Loretta Devine   Giorgia Whigham   Alice Lee   Lea Thompson   Alan Ruck   Mary Pat Gleason   Chrissy Metz,United States,2018-09-07,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he..s talking to a gorgeous cheerleader.,Ian Samuels,106 min,Comedies   Romantic Movies,PG-13,2018,Sierra Burgess Is A Loser,Movie
S0033,Anna Mouglalis   Niels Schneider   André Wilms   Michel Fau   Sissi Duparc   Jean-Michel Balthazar   Julie Recoing   Eric Godon   Maya Coline   Constance Dollé,Belgium   United Kingdom   United States,2018-09-07,In 1930s Paris   an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.,Franck Ribière,102 min,Dramas   International Movies   Thrillers,TV-MA,2018,The Most Assassinated Woman in the World,Movie
S0034,Guillaume Canet   Guillaume Gallienne   Alice Pol   Déborah François   Sabine Azéma   Freya Mavor   Isabelle Candelier   Laurent Stocker,Belgium   France,2017-09-07,This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola   who first met as schoolboys.,Daniele Thompson,114 min,Dramas   Independent Movies   International Movies,R,2016,Cézanne et moi,Movie
S0035,Tony Hale   Rosamund Pike   Jordan Fisher   Chelsea Kane   Adam Pally   Kari Wahlgren,Null,2019-09-06,Happy-go-lucky chicken Archibald may not remember to do his chores   but he never forgets to have fun. After all   life..s an adventure!,Null,1 Season,Kids.. TV   TV Comedies,TV-Y7,2019,Archibald..s Next Big Thing,TV Show
S0036,Ayushmann Khurrana   Nassar   Manoj Pahwa   Kumud Mishra   Isha Talwar   Sayani Gupta   Mohammed Zeeshan Ayyub   Subhrajyoti Barat   Sushil Pandey   Aakash Dabhade,India,2019-09-06,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,Anubhav Sinha,125 min,Dramas   International Movies   Thrillers,TV-MA,2019,Article 15,Movie
S0037,Subba Rao Vepada   Radha Bessy   Kesava Karri   Nithyasri Goru   Karthik Rathnam   Praneetha Patnaik   Mohan Bhagath   Praveena Paruchuri,Null,2019-09-06,From a schoolboy’s crush to a middle-aged bachelor’s office romance   four love stories spanning age   religion and status unfold in a small Indian town.,Maha Venkatesh,142 min,Comedies   Dramas   Independent Movies,TV-14,2018,Care of Kancharapalem,Movie
S0038,Vishwaksen Naidu   Sushanth Reddy   Abhinav Gomatam   Venkatesh Kakumanu   Anisha Ambrose   Simran Choudhary,India,2019-09-06,In Goa and in desperate need of cash   four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.,Tharun Bhascker,133 min,Comedies   International Movies,TV-14,2018,Ee Nagaraniki Emaindi,Movie
S0039,Murat Boz   Seda Bakan   Açelya Topalo?lu   Özgür Emre Y?ld?r?m   Seda Güven   Yosi Mizrahi   Dil?ad ?im?ek   Ali Yo?urtçuo?lu,Null,2019-09-06,Bogged down with money problems   a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.,?enol Sönmez,100 min,Comedies   International Movies   Romantic Movies,TV-14,2019,Kill Me If You Dare,Movie
S0040,Sacha Baron Cohen   Noah Emmerich   Hadar Ratzon Rotem   Alexander Siddig   Waleed Zuaiter   Nassim Lyes,France,2019-09-06,In the 1960s   Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous   years-long mission to spy for Mossad.,Null,1 Season,International TV Shows   TV Dramas   TV Thrillers,TV-MA,2019,The Spy,TV Show
S0041,Nick Swardson   Mila Kunis   Bob Odenkirk   T.J. Miller   Rob Riggle   Susan Sarandon   Danny McBride   Jennifer Coolidge   John Farley   Maria Bamford,United States,2018-09-06,When best friends break a blood oath   one of them is cast away to hell   and the other two must save him from the misfits of the underworld.,Tom Gianas   Ross R. Shuman,86 min,Action & Adventure   Comedies   Independent Movies,R,2015,Hell and Back,Movie
S0042,Aamir Khan   Anuskha Sharma   Sanjay Dutt   Saurabh Shukla   Parikshat Sahni   Sushant Singh Rajput   Boman Irani   Rukhsar,India,2018-09-06,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,Rajkumar Hirani,146 min,Comedies   Dramas   International Movies,TV-14,2014,PK,Movie
S0043,Nathanael Wiseman   Mem Ferda   Alexandra Newick   Oliver Stark   Kat Gellin   Andy Lucas   Ralph Brown   Beverly Hills,United Kingdom,2017-09-06,A drug dealer who..s been emulating his father..s successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,Robert Osman   Nathanael Wiseman,79 min,Dramas   Independent Movies,TV-MA,2015,Hard Tide,Movie
S0044,Paul Blake   Jeremy Bulloch   John Chapman   Anthony Forrest   Laurie Goode   Garrick Hagon   Derek Lyons   Angus MacInnes   David Prowse   Pam Rose,United Kingdom,2016-09-06,Then and now footage of bit players who appeared in .....Star Wars..... tells the story of how the film and its legions of fans changed their lives forever.,Jon Spira,102 min,Documentaries,TV-PG,2015,Elstree 1976,Movie
S0045,President Barack Obama   Michelle Obama   Julia Reichert   Steven Bognar,Null,2019-09-05,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,Null,10 min,Documentaries,TV-G,2019,American Factory: A Conversation with the Obamas,Movie
S0046,Chantavit Dhanasevi   Preechaya Pongthananikorn   Chaleumpol Tikumpornteerawong   Thawat Pornrattanaprasert   Sananthachat Thanapatpisal   Pongkool Suebsung   Puttachat Pongsuchat   Gornpop Janjaroen   Yanee Tramoth   Pongsatorn Jongwilak,United States   Canada,2018-09-05,When a broken ATM dishes out a fortune   a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.,Mez Tharatorn,122 min,Comedies   International Movies   Romantic Movies,TV-14,2012,ATM,Movie
S0047,Theeradej Wongpuapan   Sirin Horwang   Ungsumalynn Sirapatsakmetha   Panissara Phimpru   Taksaorn Paksukcharern   Charlie Trairat   Kazuki Yano,Thailand,2018-09-05,After an encounter with an engineer working the night shift for the city train   a 30-year-old woman struggles against all odds to pursue true love.,Adisorn Tresirikasem,126 min,Comedies   International Movies   Romantic Movies,TV-14,2009,Bangkok Traffic (Love) Story,Movie
S0048,Preechaya Pongthananikorn   Sunny Suwanmethanont   Sora Aoi   Puttachat Pongsuchat   Popetorn Soonthornyanakij,Thailand,2018-09-05,Desperate to go to the U.S. to win back his girlfriend   Yim hires a tutor to teach him English. But things don..t go according to plan.,Mez Tharatorn,116 min,Comedies   International Movies   Romantic Movies,TV-14,2014,I Fine... Thank You... Love You,Movie
S0049,Chantavit Dhanasevi   Nittha Jirayungyurn   Theerapat Sajakul   Prim Bulakul   Kris Srepoomseth   Somyos Matures   Sutthatip Wutichaipradit   Rermthon Kemapech   Kaz Sawamura,Thailand,2018-09-05,When his colleague (and crush) temporarily loses her memory   an overlooked geek seizes the chance to make an impression before she remembers again.,Banjong Pisanthanakun,135 min,Dramas   International Movies   Romantic Movies,TV-PG,2016,One Day,Movie
S0050,Jirayu La-ongmanee   Charlie Trairat   Worrawech Danuwong   Marsha Wattanapanich   Nicole Theriault   Chumphorn Thepphithak   Gacha Plienwithi   Suteerush Channukool   Peeratchai Roompol   Nattapong Chartpong,Thailand,2018-09-05,From disfiguring punishments to festering souls   Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.,Banjong Pisanthanakun   Paween Purikitpanya   Songyos Sugmakanan   Parkpoom Wongpoom   Visute Poolvoralaks,125 min,Horror Movies   International Movies,TV-MA,2009,Phobia 2,Movie
S0051,Ananda Everingham   Natthaweeranuch Thongmee   Achita Sikamana   Unnop Chanpaibool   Titikarn Tongprasearth   Sivagorn Muttamara   Chachchaya Chalemphol   Kachormsak Naruepatr,Thailand,2018-09-05,After killing a young girl in a hit-and-run accident   a couple is haunted by more than just the memory of their deadly choice.,Banjong Pisanthanakun   Parkpoom Wongpoom,96 min,Horror Movies   International Movies,TV-MA,2004,Shutter,Movie
S0052,Jirayu La-ongmanee   Pachara Chirathivat   Nattasha Nauljam   Thawat Pornrattanaprasert,Thailand,2018-09-05,When his boyhood crush Ern returns   Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.,Chayanop Boonprakob,130 min,Comedies   International Movies,TV-MA,2011,Suckseed,Movie
S0053,Bel Powley   Nathan Lane   Vanessa Bayer   Gabriel Byrne   Jason Ritter   Colin O..Donoghue   William Moseley   Desmin Borges,United States,2017-09-05,A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend   get a job and – maybe – even go on a date.,Susan Johnson,98 min,Comedies   Dramas,TV-14,2016,Carrie Pilby,Movie
S0054,Marc Maron,United States,2017-09-05,Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation   mortality   documentary films and our weird modern world.,Lynn Shelton,70 min,Stand-Up Comedy,TV-MA,2017,Marc Maron: Too Real,Movie
S0055,Joshua Sasse   Tori Anderson   Jonathan Langdon   Sarayu Blue   Jesse Rath   Amy Pietz,United States,2017-09-05,Her straitjacketed life turned topsy-turvy by hunky Xavier   Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.,Null,1 Season,Romantic TV Shows   TV Comedies   TV Dramas,TV-14,2016,No Tomorrow,TV Show
S0056,Karam Hussain   Arif Bahlim   Najiba Faiz   Saleem Mairaj   Imran Aslam   Daniyal Yousuf   Sohail Malik   Ali Hafiz,Pakistan,2019-09-04,Outcast from society and left to die in the wilderness   a young boy with polio embarks on a journey to connect with his mother. Based on a true story.,Farhan Alam,128 min,Dramas   Independent Movies   International Movies,TV-14,2016,Saawan,Movie
S0057,Nina Kiri   Ry Barrett   Jorja Cadence   Will King   Nina Richmond,Canada,2019-09-04,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,Chad Archibald,88 min,Horror Movies,TV-MA,2017,The Heretics,Movie
S0058,Caleb Castille   Rose Reid   Kevin Sizemore   Gregory Alan Williams,United States,2019-09-04,A teenage equestrian and a local football player for each other   but simmering racism in their small town puts their relationship to the test.,Brian Baugh,108 min,Dramas   Romantic Movies,PG,2019,The World We Make,Movie
S0059,G.V. Prakash Kumar   Samyuktha Hegde   Suman   Raj Arjun   Yogi Babu   Munishkanth,India,2019-09-04,Rushing to pay off a loan shark   a young man breaks into a bungalow to steal the cash   unprepared for the dog standing guard – or the trouble inside.,A. L. Vijay,93 min,Comedies   Dramas   International Movies,TV-14,2019,Watchman,Movie
S0060,Chadwick Boseman   Michael B. Jordan   Lupita Nyong..o   Danai Gurira   Martin Freeman   Daniel Kaluuya   Letitia Wright   Winston Duke   Sterling K. Brown   Angela Bassett   Forest Whitaker   Andy Serkis   Florence Kasumba   John Kani   David S. Lee   Stan Lee,United States,2018-09-04,T..Challa   the superpowered new leader of the hidden   highly advanced African nation of Wakanda   strives to protect his home from enemies old and new.,Ryan Coogler,135 min,Action & Adventure   Sci-Fi & Fantasy,PG-13,2018,Black Panther,Movie
S0061,Lake Bell   Simon Pegg   Ophelia Lovibond   Olivia Williams   Rory Kinnear   Henry Lloyd-Hughes   Ken Stott   Sharon Horgan   Harriet Walter   Stephen Campbell Moore   Dean-Charles Chapman   Phoebe Waller-Bridge,United Kingdom   France,2018-09-04,A single woman seizes an opportunity when   while standing under a train station clock   she meets a stranger who mistakes her for his blind date.,Ben Palmer,88 min,Comedies   International Movies   Romantic Movies,R,2015,Man Up,Movie
S0062,Peyton List   Riley Smith   Mekhi Phifer   Devin Kelley   Lenny Jacobson   Daniel Bonjour   Anthony Ruivivar,United States,2017-09-04,A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased   estranged father via a time warp.,Null,1 Season,Crime TV Shows   TV Dramas   TV Mysteries,TV-14,2016,Frequency,TV Show
S0063,Mo Gilligan,United Kingdom,2019-09-30,Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings   family dynamics and the complex art of dancing in the club.,Chris Howe,64 min,Stand-Up Comedy,TV-MA,2019,Mo Gilligan: Momentum,Movie
S0064,Adam Conover   Adam Lustick   Emily Axford,United States,2018-09-30,Education can be fun – and funny. Comedian Adam Conover bursts misconceptions   deconstructs topics and leaves with positive takeaways.,Null,1 Season,TV Comedies,TV-14,2018,Adam Ruins Everything,TV Show
S0065,Tara Strong   Montse Hernandez   David Kaye   Roger Craig Smith   Todd Haberkorn   Dwight Schultz   Daryl Sabara,United States,2018-09-30,Ben can transform into ten types of aliens. He..ll try ..em all while adventuring across the country with his cousin Gwen and Grandpa Max.,Null,1 Season,Kids.. TV,TV-Y7,2016,Ben 10,TV Show
S0066,Drew Barrymore   John Krasinski   Kristen Bell   Dermot Mulroney   Tim Blake Nelson   Vinessa Shaw   Ted Danson   Stephen Root   Rob Riggle   Michael Gaston,United States   United Kingdom,2018-09-30,After a reporter writes about whales trapped in the Arctic Circle   the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.,Ken Kwapis,107 min,Children & Family Movies   Dramas,PG,2012,Big Miracle,Movie
S0067,Null,United States,2018-09-30,A contextual   acculturated dive into how adults in six   big global cities celebrate love and accentuate sex. CNN..s Christiane Amanpour reports.,Null,1 Season,Docuseries,TV-MA,2018,Christiane Amanpour: Sex & Love Around the World,TV Show
S0068,Null,United States,2018-09-30,This nostalgic documentary series relives the 1980s from a variety of angles   exploring its impact on the politics   technology and culture of today.,Null,1 Season,Docuseries,TV-PG,2016,The Eighties,TV Show
S0069,Null,United States,2018-09-30,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.,Null,1 Season,Docuseries,TV-14,2017,The Nineties,TV Show
S0070,Null,United States,2018-09-30,This series examines 1970s America   focusing on the major political and historical landmarks of the decade and the cultural response to those events.,Null,1 Season,Docuseries,TV-PG,2015,The Seventies,TV Show
S0071,Eric Edelstein   Demetri Martin   Bobby Moynihan,United States,2018-09-30,Grizzly   Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized   modern human world.,Null,1 Season,Kids.. TV   TV Comedies,TV-Y7,2017,We Bare Bears,TV Show
S0072,Min-sik Choi   Do-won Kwak   Eun-kyung Shim   So-ri Moon   Mi-ran Ra   Hye-young Ryu   Ki Hong Lee   Sun-gyu Jin   Joo-yeon Lee   Byeong-eun Park,South Korea,2017-09-30,With the presidency in mind   the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.,Park In-je,130 min,Dramas   International Movies,TV-MA,2017,The Mayor,Movie
S0073,Null,United Kingdom,2017-09-30,Drawing on newly available info   this show traces how the British royal family has survived the last 100 years of power struggles   politics and more.,Null,1 Season,British TV Shows   Docuseries   International TV Shows,TV-14,2017,The Royal House of Windsor,TV Show
S0074,Null,Denmark   United States,2016-09-30,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,Rod Blackhurst   Brian McGinn,92 min,Documentaries,TV-MA,2016,Amanda Knox,Movie
S0075,Kongyingyong Chonlathorn   Phumphothingam Nawat   Luangsodsai Anupart   Nuchanart Veerakaarn   Chindavanich Primrose   Charnmanoon Pannin   Nungira Hanwutinanon   Ausavaterakul Ausavapat   Sirikiet Saejea   Nontapan Chuenwarin,Null,2018-09-03,Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,Null,1 Season,International TV Shows   Romantic TV Shows   TV Dramas,TV-14,2014,Lovesick,TV Show
S0076,Scott Adkins   Louis Mandylor   Vladimir Kulich   Michael Paré   Rachel Brann   Selina Lo   Tony Todd,United Kingdom   United States,2018-09-03,A broke martial arts instructor takes a side gig with a mobster   who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.,Jesse V. Johnson,96 min,Action & Adventure,TV-MA,2018,The Debt Collector,Movie
S0077,Haluk Bilginer   Mahsun K?rm?z?gül   Mustafa Sandal   Gina Gershon   Robert Patrick   Danny Glover   Engin Altan Düzyatan   Scott William Winters   Sharrieff Pugh,Turkey   United States,2018-09-29,Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as .....Dejjal..... (Arabic for Antichrist).,Mahsun K?rm?z?gül,112 min,Action & Adventure   International Movies,NR,2010,Act of Vengeance,Movie
S0078,Júlio Andrade   Lee Taylor   Hermila Guedes   Julia Konrad   Erasmo Carlos   Marjorie Estiano   Seu Jorge   Jaloo   Felipe Abib   Humberto Carrão   Malu Galli,Brazil,2018-09-29,A cop moonlights as the bodyguard for a young drag queen at a nightclub   and grows closer to the family of misfit singers that perform there.,Monique Gardenberg,111 min,Dramas   Independent Movies   International Movies,TV-MA,2018,Paradise Lost,Movie
S0079,Carla Gugino   Bruce Greenwood   Henry Thomas   Carel Struycken   Chiara Aurelia,United States,2017-09-29,When her husband..s sex game goes wrong   Jessie – handcuffed to a bed in a remote lake house – faces warped visions   dark secrets and a dire choice.,Mike Flanagan,103 min,Horror Movies   Thrillers,TV-MA,2017,Gerald..s Game,Movie
S0080,Null,United States,2017-09-29,When Juan Catalan is arrested for a murder he didn..t commit   he builds his case for innocence around raw footage from a popular TV show. A documentary.,Jacob LaMendola,40 min,Documentaries,TV-14,2017,Long Shot,Movie
